"Label","Power (kW)"
"","3946.05"
"","3787.81"
"","3954.88"
"","3991.52"
"","3968.74"
"","3974.5"
"","3971.97"
"","3965.89"
"12:00","3969.2"
"","3969.91"
"","3986.68"
"","3984.12"
"","3981.25"
"","3992.1"
"","3984.85"
"","3983.76"
"","3981.58"
"","3943.52"
"","3973.72"
"","3976.8"
"","3972.75"
"","3954.68"
"","3962.71"
"","3963.56"
"","3962.38"
"","3961.44"
"","3969.53"
"","3971.84"
"","3964.19"
"","3963.04"
"","3964.52"
"","3962.55"
"","3964.23"
"","3970.77"
"","3969.22"
"","3964.25"
"","3964.7"
"","3961.22"
"","3950.13"
"","3954.95"
"","3954.25"
"","3948.79"
"","3945.98"
"","3940.39"
"","3935.26"
"","3929.84"
"","3922.26"
"","3923.17"
"","3920.26"
"","3917.64"
"","3916.05"
"","3911.61"
"","3908.05"
"","3903.47"
"","3898.89"
"","3894.88"
"","3884.5"
"","3887.16"
"","3879.7"
"","3878.3"
"","3871.94"
"","3860.38"
"","3857.39"
"","3851.24"
"","3845.06"
"","3836.78"
"","3830.73"
"","3833.33"
"13:00","3829.06"
"","3820.94"
"","3813.23"
"","3810.68"
"","3733.81"
"","3789.06"
"","3792.1"
"","3789.26"
"","3782.51"
"","3777.39"
"","3751.34"
"","3761.1"
"","3766.12"
"","3754.51"
"","3752.95"
"","3749.36"
"","3743.62"
"","3738.87"
"","3731.09"
"","3725.84"
"","3719.83"
"","3702.41"
"","3717.37"
"","3711.09"
"","3709.57"
"","3703.75"
"","3696.22"
"","3690.16"
"","3686.73"
"","3681.37"
"","3675.35"
"","3672.48"
"","3666.23"
"","3659.12"
"","3652.43"
"","3641.83"
"","3637.34"
"","3630.22"
"","3615.46"
"","3615.19"
"","3607.44"
"","3600.21"
"","3582.39"
"","3583.66"
"","3575.55"
"","3566.74"
"","3560.43"
"","3554.82"
"","3544.64"
"","3538.72"
"","3527.02"
"","3521.43"
"","3502.93"
"","3496.26"
"","3486.97"
"","3474.04"
"","3465.01"
"","3459.14"
"","3454.47"
"","3448.73"
"14:00","3418.77"
"","3424.42"
"","3418"
"","3419.39"
"","3412.07"
"","3382.21"
"","3382.5"
"","3377.78"
"","3370.49"
"","3361.85"
"","3346.22"
"","3334.73"
"","3325.35"
"","3318.23"
"","3308.58"
"","3304.68"
"","3292.46"
"","3283.62"
"","3270.2"
"","3257.83"
"","3242.2"
"","3231.47"
"","3225.27"
"","3214.12"
"","3204.34"
"","3192.36"
"","3181.63"
"","3170.81"
"","3160.14"
"","3156.56"
"","3043.74"
"","3098.73"
"","3075.02"
"","3078.47"
"","3098.76"
"","3075.86"
"","3065.5"
"","3046.85"
"","3035.23"
"","3021.57"
"","3011.18"
"","2989.51"
"","2978.32"
"","2968.81"
"","2942.68"
"","2937.19"
"","2910.54"
"","2914.97"
"","2899.43"
"","2864.23"
"","2849.54"
"","2847.6"
"","2837.76"
"","2821.15"
"","2804.45"
"","2788.64"
"","2768.23"
"","2763.87"
"","2746.58"
"","2738.3"
"15:00","2692.54"
"","2694.23"
"","2674.24"
"","2669.59"
"","2660.96"
"","2648.35"
"","2631.77"
"","2620.12"
"","2606.34"
"","2578.44"
"","2563.24"
"","2552.69"
"","2531.77"
"","2518.95"
"","2522.37"
"","2498.8"
"","2489.34"
"","2467.76"
"","2453.03"
"","2428.42"
"","2409.78"
"","2390.19"
"","2375.87"
"","2361.45"
"","2340.64"
"","2309.45"
"","2301.24"
"","2275.4"
"","2266.79"
"","2242.02"
"","2222.89"
"","2211.17"
"","2196.67"
"","2178.25"
"","2159.83"
"","2140.78"
"","2127.28"
"","2102.46"
"","2081.01"
"","2043.67"
"","2030.7"
"","2007.53"
"","1995.69"
"","1968.41"
"","1959.77"
"","1945.63"
"","1922.32"
"","1897.03"
"","1867.68"
"","1848.48"
"","1825.33"
"","1801.53"
"","1793.13"
"","1777.36"
"","1754.88"
"","1740.43"
"","1731.85"
"","1705.1"
"","1698.85"
"","1686.56"
"16:00","1664.2"
"","1648.69"
"","1628.48"
"","1610.58"
"","1572.45"
"","1546.08"
"","1524.26"
"","1509.29"
"","1488.58"
"","1462.82"
"","1435.74"
"","1406.58"
"","1369.18"
"","1335.52"
"","1310.32"
"","1281.23"
"","1257.6"
"","1233.82"
"","1205.89"
"","1176.09"
"","1159.91"
"","1128.01"
"","1102.02"
"","1069.97"
"","1031.52"
"","1005.44"
"","978.49"
"","960.18"
"","941.43"
"","921.74"
"","908.55"
"","893.24"
"","873.81"
"","861.36"
"","840.02"
"","823.76"
"","802.35"
"","784.47"
"","760.47"
"","743.14"
"","715.6"
"","688.94"
"","666.16"
"","640.03"
"","618.46"
"","596.27"
"","580.16"
"","568.14"
"","549.61"
"","537.44"
"","526.58"
"","513.38"
"","499.21"
"","491.86"
"","477.74"
"","472.24"
"","459.28"
"","447.34"
"","434.91"
"","420.22"
"17:00","402.91"
"","388.33"
"","376.46"
"","363.49"
"","347.91"
"","332.04"
"","315.46"
"","295.66"
"","277.62"
"","258.24"
"","240.4"
"","223.58"
"","209.74"
"","196.38"
"","183.64"
"","172.57"
"","160.39"
"","148.94"
"","135.04"
"","123.03"
"","111.39"
"","99.6"
"","92.21"
"","83.22"
"","74.35"
"","67.07"
"","59.57"
"","52.78"
"","46.69"
"","40.68"
"","18.4"
"","15.21"
"","12.86"
"","18.49"
"","8.43"
"","6.79"
"","8.16"
"","3.73"
"","0.94"
"","0.7"
"","0.41"
"","0.32"
"","0.27"
"","0.28"
"","0.25"
"","0.22"
"","0.15"
"","0.12"
"","0.14"
"","0.15"
"","0.14"
"","0.14"
"","0.17"
"","0.18"
"","0.17"
"","0.18"
"","0.18"
"","0.17"
"","0.19"
"","0.24"
"18:00","0.19"
"","0.21"
"","0.16"
"","0.16"
"","0.18"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.2"
"","0.21"
"","0.22"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.2"
"","0.2"
"","0.19"
"","0.23"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.19"
"","0.22"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.2"
"","0.21"
"","0.19"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.19"
"","0.22"
"","0.21"
"","0.22"
"","0.22"
"","0.2"
"","0.21"
"19:00","0.2"
